year,province,source_income1,source_income2,source_income3,soc_eco_class1,soc_eco_class2,value,unit,attribute,source
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,4.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,3285.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,247.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,14397.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,14397.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,10458.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,10444.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,เงินที่ได้รับเป็นการช่วยเหลือ,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้จากทรัพย์สิน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,14.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่ไม่เป็นตัวเงิน,รายได้ที่ไม่เป็นตัวเงิน,ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,3940.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),รายได้ไม่ประจำ (ที่เป็นตัวเงิน),ลูกจ้าง,คนงานด้านการขนส่งและงานพื้นฐาน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,รายได้ทั้งสิ้นต่อเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,26831.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ประจำ,รายได้ประจำ,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,26482.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,รายได้ที่เป็นตัวเงิน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,22315.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,ค่าจ้างและเงินเดือน,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,18808.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำธุรกิจ,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,1393.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,พิษณุโลก,รายได้ประจำ,รายได้ที่เป็นตัวเงิน,กำไรสุทธิจากการทำการเกษตร,ลูกจ้าง,เสมียนพนักงานขายและให้บริการ,340.0,บาท,,สำนักงานสถิติแห่งชาติ
