year,province,soc_eco_class1,soc_eco_class2,hhindebt_totalindebt,hhindebt_totalindebt_purpose_source,purpose_bor,value,unit,attribute,source
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครัวเรือน,11442.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,163879.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,175321.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง_ส่วนใหญ่เช่าที่ดิน/ทำฟรี,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,2672.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,265482.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการศึกษา,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้จ่ายอุปโภคบริโภคอื่น ๆ ในครัวเรือน,33493.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำธุรกิจ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้ในระบบ,836790.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ลูกจ้าง,ผู้จัดการนักวิชาการและผู้ปฏิบัติงานวิชาชีพ,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามแหล่งเงินกู้,หนี้นอกระบบ,2044.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ลูกจ้าง,คนงานเกษตรป่าไม้และประมง,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,จำนวนครัวเรือนที่เป็นหนี้ทั้งสิ้น,1437.0,ครัวเรือน,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,ใช้ในการทำเกษตร,231988.0,บาท,,สำนักงานสถิติแห่งชาติ
2566,หนองคาย,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,ประมงป่าไม้ล่าสัตว์หาของป่าบริการทางการเกษตร,จำนวนหนี้สินเฉลี่ยต่อครัวเรือนที่เป็นหนี้,จำแนกตามวัตถุประสงค์,หนี้อื่น ๆ,0.0,บาท,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,สำนักงานสถิติแห่งชาติ
