Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,2704,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,10258,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,3246,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,0,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,0,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,รวม,รวม,2558363,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,366051,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้ในระบบ ,ใช้ในการศึกษา,65290,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,1835543,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,164459,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,หนี้ในระบบ ,ใช้ในการทำการเกษตร,357255,ครัวเรือน,สำนักงานสถิติแห่งชาติ
