Year,Region,Area,Type_debt,value,unit,source
2566,ภาคใต้,รวม,มีหนี้นอกระบบอย่างเดียว,132024,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,รวม,มีหนี้ทั้งในและนอกระบบ,58787,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,ในเขตเทศบาล,รวม,498119,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,444222,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,42368,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,11529,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,นอกเขตเทศบาล,รวม,905973,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,นอกเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,769059,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,นอกเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,89656,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,นอกเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,47258,ครัวเรือน,สำนักงานสถิติแห่งชาติ
